month_start_date,messages_count
2019-08-01,38
2019-09-01,32
2019-10-01,39
2019-11-01,60
2019-12-01,103
2020-01-01,48
2020-02-01,101
2020-03-01,14
2020-04-01,24
2020-05-01,28
2020-06-01,299
2020-07-01,471
2020-08-01,725
2020-09-01,521
2020-10-01,1154
2020-11-01,1309
2020-12-01,820
2021-01-01,1055
2021-02-01,1085
2021-03-01,1956
2021-04-01,1958
2021-05-01,2843
2021-06-01,1675
2021-07-01,1326
2021-08-01,1423
2021-09-01,1564
2021-10-01,1756
2021-11-01,1607
2021-12-01,1789
2022-01-01,1919
2022-02-01,1899
2022-03-01,1976
2022-04-01,2362
2022-05-01,2242
2022-06-01,2674
2022-07-01,8216
2022-08-01,2589
2022-09-01,2042
2022-10-01,1948
2022-11-01,1773
2022-12-01,1903
2023-01-01,1723
2023-02-01,1675
2023-03-01,3205
2023-04-01,2502
2023-05-01,3105
2023-06-01,2028
2023-07-01,1335
2023-08-01,2593
2023-09-01,1794
2023-10-01,1948
2023-11-01,1908
2023-12-01,1842
2024-01-01,1090
2024-02-01,640
