week_start_date,messages_count
2019-08-19,24
2019-08-26,14
2019-09-02,7
2019-09-09,12
2019-09-16,4
2019-09-23,7
2019-09-30,15
2019-10-07,7
2019-10-14,8
2019-10-21,8
2019-10-28,7
2019-11-04,8
2019-11-11,18
2019-11-18,14
2019-11-25,24
2019-12-02,17
2019-12-09,38
2019-12-16,18
2019-12-23,6
2019-12-30,22
2020-01-06,18
2020-01-13,8
2020-01-20,5
2020-01-27,12
2020-02-03,3
2020-02-10,5
2020-02-17,55
2020-02-24,37
2020-03-02,2
2020-03-09,6
2020-03-16,1
2020-03-23,4
2020-03-30,2
2020-04-06,5
2020-04-13,5
2020-04-20,10
2020-04-27,5
2020-05-04,9
2020-05-11,5
2020-05-18,4
2020-05-25,8
2020-06-01,28
2020-06-08,32
2020-06-15,67
2020-06-22,128
2020-06-29,131
2020-07-06,122
2020-07-13,29
2020-07-20,189
2020-07-27,61
2020-08-03,128
2020-08-10,105
2020-08-17,192
2020-08-24,217
2020-08-31,159
2020-09-07,77
2020-09-14,91
2020-09-21,82
2020-09-28,264
2020-10-05,88
2020-10-12,104
2020-10-19,244
2020-10-26,712
2020-11-02,358
2020-11-09,239
2020-11-16,383
2020-11-23,198
2020-11-30,188
2020-12-07,191
2020-12-14,277
2020-12-21,139
2020-12-28,130
2021-01-04,245
2021-01-11,163
2021-01-18,401
2021-01-25,192
2021-02-01,204
2021-02-08,161
2021-02-15,360
2021-02-22,360
2021-03-01,454
2021-03-08,284
2021-03-15,714
2021-03-22,327
2021-03-29,277
2021-04-05,417
2021-04-12,738
2021-04-19,372
2021-04-26,415
2021-05-03,1203
2021-05-10,677
2021-05-17,489
2021-05-24,311
2021-05-31,364
2021-06-07,473
2021-06-14,315
2021-06-21,531
2021-06-28,265
2021-07-05,305
2021-07-12,238
2021-07-19,303
2021-07-26,302
2021-08-02,281
2021-08-09,583
2021-08-16,174
2021-08-23,221
2021-08-30,328
2021-09-06,249
2021-09-13,425
2021-09-20,318
2021-09-27,655
2021-10-04,334
2021-10-11,329
2021-10-18,480
2021-10-25,350
2021-11-01,375
2021-11-08,426
2021-11-15,362
2021-11-22,333
2021-11-29,371
2021-12-06,444
2021-12-13,417
2021-12-20,347
2021-12-27,386
2022-01-03,471
2022-01-10,456
2022-01-17,515
2022-01-24,363
2022-01-31,439
2022-02-07,573
2022-02-14,486
2022-02-21,415
2022-02-28,547
2022-03-07,364
2022-03-14,346
2022-03-21,396
2022-03-28,512
2022-04-04,622
2022-04-11,521
2022-04-18,481
2022-04-25,629
2022-05-02,558
2022-05-09,485
2022-05-16,461
2022-05-23,538
2022-05-30,534
2022-06-06,1111
2022-06-13,434
2022-06-20,464
2022-06-27,420
2022-07-04,6051
2022-07-11,425
2022-07-18,1158
2022-07-25,448
2022-08-01,999
2022-08-08,727
2022-08-15,330
2022-08-22,293
2022-08-29,410
2022-09-05,440
2022-09-12,372
2022-09-19,563
2022-09-26,604
2022-10-03,504
2022-10-10,391
2022-10-17,440
2022-10-24,468
2022-10-31,412
2022-11-07,366
2022-11-14,358
2022-11-21,442
2022-11-28,384
2022-12-05,548
2022-12-12,540
2022-12-19,417
2022-12-26,279
2023-01-02,369
2023-01-09,333
2023-01-16,384
2023-01-23,487
2023-01-30,417
2023-02-06,537
2023-02-13,376
2023-02-20,369
2023-02-27,373
2023-03-06,490
2023-03-13,539
2023-03-20,520
2023-03-27,1500
2023-04-03,885
2023-04-10,564
2023-04-17,477
2023-04-24,453
2023-05-01,398
2023-05-08,679
2023-05-15,739
2023-05-22,932
2023-05-29,598
2023-06-05,582
2023-06-12,477
2023-06-19,395
2023-06-26,360
2023-07-03,337
2023-07-10,302
2023-07-17,282
2023-07-24,330
2023-07-31,456
2023-08-07,820
2023-08-14,596
2023-08-21,431
2023-08-28,540
2023-09-04,393
2023-09-11,375
2023-09-18,444
2023-09-25,398
2023-10-02,439
2023-10-09,448
2023-10-16,365
2023-10-23,519
2023-10-30,575
2023-11-06,395
2023-11-13,507
2023-11-20,386
2023-11-27,326
2023-12-04,393
2023-12-11,510
2023-12-18,439
2023-12-25,387
2024-01-01,325
2024-01-08,199
2024-01-15,248
2024-01-22,238
2024-01-29,166
2024-02-05,243
2024-02-12,214
2024-02-19,97
